Date,High,Low,Close,Open,Adj Close
2022-09-30,6954.92,6840.07,6893.81,6881.59,6893.81
2022-09-29,7005.39,6829.29,6881.59,7005.39,6881.59
2022-09-28,7011.5,6836.28,7005.39,6984.59,7005.39
2022-09-27,7073.96,6984.59,6984.59,7020.95,6984.59
2022-09-26,7071.11,6937.4,7020.95,7018.6,7020.95
2022-09-23,7169.12,6981.5,7018.6,7159.52,7018.6
2022-09-22,7243.9,7149.59,7159.52,7237.64,7159.52
2022-09-21,7258.87,7170.69,7237.64,7192.66,7237.64
2022-09-20,7326.54,7171.24,7192.66,7236.68,7192.66
2022-09-16,7297.1,7236.17,7236.68,7282.07,7236.68
2022-09-15,7329.0,7258.67,7282.07,7277.3,7282.07
2022-09-14,7385.86,7259.24,7277.3,7385.86,7277.3
2022-09-13,7514.04,7385.86,7385.86,7473.03,7385.86
2022-09-12,7483.0,7351.07,7473.03,7351.07,7473.03
2022-09-09,7386.59,7262.06,7351.07,7262.06,7351.07
2022-09-08,7273.01,7175.75,7262.06,7237.83,7262.06
2022-09-07,7300.44,7186.56,7237.83,7300.44,7237.83
2022-09-06,7324.19,7256.51,7300.44,7287.43,7300.44
2022-09-05,7288.46,7191.17,7287.43,7281.19,7287.43
2022-09-02,7288.72,7148.5,7281.19,7148.5,7281.19
2022-09-01,7284.15,7131.69,7148.5,7284.15,7148.5
2022-08-31,7378.44,7263.62,7284.15,7361.63,7284.15
2022-08-30,7486.4,7351.12,7361.63,7427.31,7361.63
2022-08-26,7530.65,7422.02,7427.31,7479.74,7427.31
2022-08-25,7535.7,7469.17,7479.74,7471.51,7479.74
2022-08-24,7488.12,7410.4,7471.51,7488.11,7471.51
2022-08-23,7533.79,7467.56,7488.11,7533.79,7488.11
2022-08-22,7550.41,7491.26,7533.79,7550.37,7533.79
2022-08-19,7578.85,7513.26,7550.37,7541.85,7550.37
2022-08-18,7541.89,7493.66,7541.85,7515.75,7541.85
2022-08-17,7554.04,7501.54,7515.75,7536.06,7515.75
2022-08-16,7563.67,7509.15,7536.06,7509.15,7536.06
2022-08-15,7539.21,7463.51,7509.15,7500.89,7509.15
2022-08-12,7516.83,7464.12,7500.89,7465.91,7500.89
2022-08-11,7515.0,7460.11,7465.91,7507.11,7465.91
2022-08-10,7520.72,7468.64,7507.11,7488.15,7507.11
2022-08-09,7504.64,7475.04,7488.15,7482.37,7488.15
2022-08-08,7513.76,7439.74,7482.37,7439.74,7482.37
2022-08-05,7470.63,7420.16,7439.74,7448.06,7439.74
2022-08-04,7491.74,7417.49,7448.06,7445.68,7448.06
2022-08-03,7445.9,7372.71,7445.68,7409.11,7445.68
2022-08-02,7433.34,7386.76,7409.11,7413.42,7409.11
2022-08-01,7471.87,7408.94,7413.42,7450.24,7413.42
2022-07-29,7441.2,7345.25,7423.43,7345.25,7423.43
