Date,High,Low,Close,Open,Volume,Adj Close
2022-09-30,22507.29,22200.69,22462.16,22249.28,526190000.00000006,22462.16
2022-09-29,22639.07,21934.77,22114.35,22631.94,505700000.0,22114.35
2022-09-28,22706.13,22249.62,22651.25,22555.63,582580000.0,22651.25
2022-09-27,23311.77,22756.31,22756.31,23217.65,587030000.0,22756.31
2022-09-26,23202.9,22752.59,23019.17,22752.59,532360000.0,23019.17
2022-09-23,23587.46,22840.4,22869.9,23576.77,586080000.0,22869.9
2022-09-22,24040.98,23539.63,23629.88,23569.22,505200000.0,23629.88
2022-09-21,23910.66,23492.99,23910.66,23492.99,479180000.0,23910.66
2022-09-20,24277.43,23606.98,23648.79,24182.11,595460000.0,23648.79
2022-09-19,24171.31,23663.2,24043.8,23944.93,487120000.0,24043.8
2022-09-16,24138.61,23817.54,24020.59,24010.86,1100000000.0,24020.59
2022-09-15,24538.24,24214.91,24307.2,24376.23,553810000.0,24307.2
2022-09-14,24477.72,24153.54,24373.39,24186.92,459430000.0,24373.39
2022-09-13,24881.44,24285.06,24285.06,24706.65,584690000.0,24285.06
2022-09-12,24675.71,24212.21,24616.47,24216.62,550640000.0,24616.47
2022-09-09,24143.12,23716.5,24076.76,23717.16,593730000.0,24076.76
2022-09-08,23680.54,23133.09,23628.42,23573.61,632930000.0,23628.42
2022-09-07,23492.84,23229.85,23435.68,23271.97,526429999.99999994,23435.68
2022-09-06,23595.97,23260.17,23436.46,23440.0,350090000.0,23436.46
2022-09-05,23509.86,23225.78,23440.19,23433.07,388980000.0,23440.19
2022-09-02,23953.31,23367.3,23927.94,23419.19,419540000.0,23927.94
2022-09-01,23437.68,23210.14,23287.13,23356.47,392060000.0,23287.13
2022-08-31,24028.79,23579.02,23579.02,23994.76,550120000.0,23579.02
2022-08-30,24279.26,23788.72,23860.51,24000.67,460140000.0,23860.51
2022-08-29,23938.19,23561.6,23877.36,23688.05,367960000.0,23877.36
2022-08-26,24649.97,23937.2,23947.56,24641.57,441490000.0,23947.56
2022-08-25,24699.53,24395.8,24533.12,24668.22,482550000.0,24533.12
2022-08-24,24549.47,24196.58,24513.76,24378.33,399340000.0,24513.76
2022-08-23,24548.82,24109.83,24456.68,24132.18,493310000.0,24456.68
2022-08-22,24538.4,24116.93,24235.03,24464.71,483100000.0,24235.03
2022-08-19,25058.25,24637.85,24646.64,25021.99,416550000.0,24646.64
2022-08-18,25124.64,24918.87,25124.64,24921.89,316110000.0,25124.64
2022-08-17,25320.97,24860.53,24892.97,25255.85,376700000.0,24892.97
2022-08-16,25326.11,25121.52,25162.58,25253.71,407000000.0,25162.58
2022-08-12,25180.64,25030.84,25138.52,25032.54,485890000.0,25138.52
2022-08-11,25037.69,24921.35,25020.52,24976.68,333380000.0,25020.52
2022-08-10,24877.02,24472.29,24855.22,24544.7,339260000.0,24855.22
2022-08-09,24913.96,24590.64,24614.86,24870.23,341470000.0,24614.86
2022-08-08,24968.14,24698.42,24869.05,24866.78,357930000.0,24869.05
2022-08-05,24902.98,24641.24,24726.5,24843.83,478550000.0,24726.5
2022-08-04,25033.63,24749.21,24814.24,24800.79,535049999.99999994,24814.24
2022-08-03,24730.19,24424.95,24722.33,24493.97,489070000.0,24722.33
2022-08-02,24519.93,24257.15,24462.33,24515.42,403480000.0,24462.33
2022-08-01,24947.51,24562.38,24562.38,24619.47,452350000.0,24562.38
2022-07-29,24631.75,24237.09,24537.38,24306.02,608830000.0,24537.38
2022-07-28,24036.14,23730.27,24036.14,23783.74,486890000.0,24036.14
2022-07-27,23570.12,23315.62,23557.58,23362.72,461280000.0,23557.58
2022-07-26,23462.08,23227.5,23227.75,23443.7,433220000.0,23227.75
2022-07-25,23514.09,23212.64,23477.1,23252.09,421630000.0,23477.1
2022-07-22,23486.79,23171.4,23307.11,23235.09,502700000.0,23307.11
2022-07-21,23389.25,22762.34,23269.16,22955.1,802280000.0,23269.16
2022-07-20,23927.91,23288.86,23416.55,23855.86,582900000.0,23416.55
2022-07-19,23784.19,23052.01,23776.96,23052.54,522200000.00000006,23776.96
2022-07-18,23341.58,22965.93,23216.68,22965.93,474280000.0,23216.68
2022-07-15,22995.42,22468.4,22956.33,22568.59,616820000.0,22956.33
2022-07-14,23193.28,22401.43,22549.96,23168.77,640130000.0,22549.96
2022-07-13,23484.24,23055.3,23317.68,23466.02,435270000.0,23317.68
2022-07-12,23569.45,23329.44,23536.14,23467.01,552240000.0,23536.14
2022-07-11,23841.92,23491.42,23623.76,23514.15,450200000.0,23623.76
2022-07-08,23906.42,23526.74,23852.44,23588.92,437010000.0,23852.44
2022-07-07,23623.67,23169.4,23598.82,23209.15,538150000.0,23598.82
2022-07-06,23062.26,22733.83,22924.88,22982.06,454940000.0,22924.88
2022-07-05,23501.23,22677.3,22681.71,23501.23,485340000.0,22681.71
2022-07-04,23584.11,23329.68,23362.41,23526.47,373230000.0,23362.41
2022-07-01,23566.36,23041.61,23369.13,23081.16,443290000.0,23369.13
2022-06-30,23583.17,23139.9,23308.79,23533.28,599600000.0,23308.79
2022-06-29,24021.36,23779.04,23876.28,23920.6,364160000.0,23876.28
2022-06-28,24353.62,24092.55,24165.54,24124.98,374330000.0,24165.54
2022-06-27,24416.32,23894.14,23987.02,24290.04,399280000.0,23987.02
2022-06-24,24219.99,23633.8,24173.62,23733.3,417120000.0,24173.62
2022-06-23,24008.04,23475.29,23637.95,23730.9,569000000.0,23637.95
2022-06-22,23981.8,23506.99,23828.02,23748.59,399900000.0,23828.02
2022-06-21,24362.26,24071.92,24131.85,24128.49,397450000.0,24131.85
2022-06-20,24071.67,23768.12,24042.64,23895.25,394260000.0,24042.64
2022-06-17,24283.2,23767.37,23834.34,23771.13,763370000.0,23834.34
2022-06-16,24460.86,23737.67,23742.96,24417.3,496380000.0,23742.96
2022-06-15,24659.8,24142.13,24536.58,24269.31,543700000.0,24536.58
2022-06-14,24236.79,23641.1,23873.92,24176.23,477280000.0,23873.92
