"Date","Price","Open","High","Low","Vol.","Change %"
"09/30/2022","22,462.16","22,249.28","22,507.29","22,200.69","526.19M","1.57%"
"09/29/2022","22,114.35","22,631.94","22,639.07","21,934.77","505.70M","-2.37%"
"09/28/2022","22,651.25","22,555.63","22,706.13","22,249.62","582.58M","-0.46%"
"09/27/2022","22,756.31","23,217.65","23,311.77","22,756.31","587.03M","-1.14%"
"09/26/2022","23,019.17","22,752.59","23,202.90","22,752.59","532.36M","0.65%"
"09/23/2022","22,869.90","23,576.77","23,587.46","22,840.40","586.08M","-3.22%"
"09/22/2022","23,629.88","23,569.22","24,040.98","23,539.63","505.20M","-1.17%"
"09/21/2022","23,910.66","23,492.99","23,910.66","23,492.99","479.18M","1.11%"
"09/20/2022","23,648.79","24,182.11","24,277.43","23,606.98","595.46M","-1.64%"
"09/19/2022","24,043.80","23,944.93","24,171.31","23,663.20","487.12M","0.10%"
"09/16/2022","24,020.59","24,010.86","24,138.61","23,817.54","1.10B","-1.18%"
"09/15/2022","24,307.20","24,376.23","24,538.24","24,214.91","553.81M","-0.27%"
"09/14/2022","24,373.39","24,186.92","24,477.72","24,153.54","459.43M","0.36%"
"09/13/2022","24,285.06","24,706.65","24,881.44","24,285.06","584.69M","-1.35%"
"09/12/2022","24,616.47","24,216.62","24,675.71","24,212.21","550.64M","2.24%"
"09/09/2022","24,076.76","23,717.16","24,143.12","23,716.50","593.73M","1.90%"
"09/08/2022","23,628.42","23,573.61","23,680.54","23,133.09","632.93M","0.82%"
"09/07/2022","23,435.68","23,271.97","23,492.84","23,229.85","526.43M","0.00%"
"09/06/2022","23,436.46","23,440.00","23,595.97","23,260.17","350.09M","-0.02%"
"09/05/2022","23,440.19","23,433.07","23,509.86","23,225.78","388.98M","-2.04%"
"09/02/2022","23,927.94","23,419.19","23,953.31","23,367.30","419.54M","2.75%"
"09/01/2022","23,287.13","23,356.47","23,437.68","23,210.14","392.06M","-1.24%"
"08/31/2022","23,579.02","23,994.76","24,028.79","23,579.02","550.12M","-1.18%"
"08/30/2022","23,860.51","24,000.67","24,279.26","23,788.72","460.14M","-0.07%"
"08/29/2022","23,877.36","23,688.05","23,938.19","23,561.60","367.96M","-0.29%"
"08/26/2022","23,947.56","24,641.57","24,649.97","23,937.20","441.49M","-2.39%"
"08/25/2022","24,533.12","24,668.22","24,699.53","24,395.80","482.55M","0.08%"
"08/24/2022","24,513.76","24,378.33","24,549.47","24,196.58","399.34M","0.23%"
"08/23/2022","24,456.68","24,132.18","24,548.82","24,109.83","493.31M","0.91%"
"08/22/2022","24,235.03","24,464.71","24,538.40","24,116.93","483.10M","-1.67%"
"08/19/2022","24,646.64","25,021.99","25,058.25","24,637.85","416.55M","-1.90%"
"08/18/2022","25,124.64","24,921.89","25,124.64","24,918.87","316.11M","0.93%"
"08/17/2022","24,892.97","25,255.85","25,320.97","24,860.53","376.70M","-1.07%"
"08/16/2022","25,162.58","25,253.71","25,326.11","25,121.52","407.00M","0.10%"
"08/12/2022","25,138.52","25,032.54","25,180.64","25,030.84","485.89M","0.47%"
"08/11/2022","25,020.52","24,976.68","25,037.69","24,921.35","333.38M","0.67%"
"08/10/2022","24,855.22","24,544.70","24,877.02","24,472.29","339.26M","0.98%"
"08/09/2022","24,614.86","24,870.23","24,913.96","24,590.64","341.47M","-1.02%"
"08/08/2022","24,869.05","24,866.78","24,968.14","24,698.42","357.93M","0.58%"
"08/05/2022","24,726.50","24,843.83","24,902.98","24,641.24","478.55M","-0.35%"
"08/04/2022","24,814.24","24,800.79","25,033.63","24,749.21","535.05M","0.37%"
"08/03/2022","24,722.33","24,493.97","24,730.19","24,424.95","489.07M","1.06%"
"08/02/2022","24,462.33","24,515.42","24,519.93","24,257.15","403.48M","-0.41%"
"08/01/2022","24,562.38","24,619.47","24,947.51","24,562.38","452.35M","0.10%"
"07/29/2022","24,537.38","24,306.02","24,631.75","24,237.09","608.83M","2.09%"
"07/28/2022","24,036.14","23,783.74","24,036.14","23,730.27","486.89M","2.03%"
"07/27/2022","23,557.58","23,362.72","23,570.12","23,315.62","461.28M","1.42%"
"07/26/2022","23,227.75","23,443.70","23,462.08","23,227.50","433.22M","-1.06%"
"07/25/2022","23,477.10","23,252.09","23,514.09","23,212.64","421.63M","0.73%"
"07/22/2022","23,307.11","23,235.09","23,486.79","23,171.40","502.70M","0.16%"
