Date, Open, High, Low, Close
10/28/22, 7073.69, 7073.69, 6997.54, 7047.67
10/27/22, 7056.07, 7093.05, 7034.24, 7073.69
10/26/22, 7013.48, 7057.42, 6960.11, 7056.07
10/25/22, 7013.99, 7025.22, 6949.24, 7013.48
10/24/22, 6969.73, 7047.37, 6914.66, 7013.99
10/21/22, 6943.91, 6976.19, 6864.13, 6969.73
10/20/22, 6924.99, 6954.21, 6894.85, 6943.91
10/19/22, 6936.74, 6968.33, 6890.66, 6924.99
10/18/22, 6920.24, 7017.40, 6920.24, 6936.74
10/17/22, 6858.79, 6959.71, 6850.43, 6920.24
10/14/22, 6850.27, 6976.30, 6850.27, 6858.79
10/13/22, 6826.15, 6872.90, 6707.62, 6850.27
10/12/22, 6885.23, 6916.94, 6793.77, 6826.15
10/11/22, 6959.31, 6959.43, 6860.31, 6885.23
10/10/22, 6991.09, 6999.20, 6922.94, 6959.31
10/07/22, 6997.27, 7022.41, 6960.36, 6991.09
10/06/22, 7052.62, 7079.74, 6961.10, 6997.27
10/05/22, 7086.46, 7086.46, 6977.95, 7052.62
10/04/22, 6908.76, 7088.17, 6908.67, 7086.46
10/03/22, 6893.81, 6923.75, 6797.37, 6908.76
09/30/22, 6881.59, 6954.92, 6840.07, 6893.81
09/29/22, 7005.39, 7005.39, 6829.29, 6881.59
09/28/22, 6984.59, 7011.50, 6836.28, 7005.39
09/27/22, 7020.95, 7073.96, 6984.59, 6984.59
09/26/22, 7018.60, 7071.11, 6937.40, 7020.95
09/23/22, 7159.52, 7169.12, 6981.50, 7018.60
09/22/22, 7237.64, 7243.90, 7149.59, 7159.52
09/21/22, 7192.66, 7258.87, 7170.69, 7237.64
09/20/22, 7236.68, 7326.54, 7171.24, 7192.66
09/16/22, 7282.07, 7297.10, 7236.17, 7236.68
09/15/22, 7277.30, 7329.00, 7258.67, 7282.07
09/14/22, 7385.86, 7385.86, 7259.24, 7277.30
09/13/22, 7473.03, 7514.04, 7385.86, 7385.86
09/12/22, 7351.07, 7483.00, 7351.07, 7473.03
09/09/22, 7262.06, 7386.59, 7262.06, 7351.07
09/08/22, 7237.83, 7273.01, 7175.75, 7262.06
09/07/22, 7300.44, 7300.44, 7186.56, 7237.83
09/06/22, 7287.43, 7324.19, 7256.51, 7300.44
09/05/22, 7281.19, 7288.46, 7191.17, 7287.43
09/02/22, 7148.50, 7288.72, 7148.50, 7281.19
09/01/22, 7284.15, 7284.15, 7131.69, 7148.50
08/31/22, 7361.63, 7378.44, 7263.62, 7284.15
08/30/22, 7427.31, 7486.40, 7351.12, 7361.63
08/26/22, 7479.74, 7530.65, 7422.02, 7427.31
08/25/22, 7471.51, 7535.70, 7469.17, 7479.74
08/24/22, 7488.11, 7488.12, 7410.40, 7471.51
08/23/22, 7533.79, 7533.79, 7467.56, 7488.11
08/22/22, 7550.37, 7550.41, 7491.26, 7533.79
08/19/22, 7541.85, 7578.85, 7513.26, 7550.37
08/18/22, 7515.75, 7541.89, 7493.66, 7541.85
08/17/22, 7536.06, 7554.04, 7501.54, 7515.75
08/16/22, 7509.15, 7563.67, 7509.15, 7536.06
08/15/22, 7500.89, 7539.21, 7463.51, 7509.15
08/12/22, 7465.91, 7516.83, 7464.12, 7500.89
08/11/22, 7507.11, 7515.00, 7460.11, 7465.91
08/10/22, 7488.15, 7520.72, 7468.64, 7507.11
08/09/22, 7482.37, 7504.64, 7475.04, 7488.15
08/08/22, 7439.74, 7513.76, 7439.74, 7482.37
08/05/22, 7448.06, 7470.63, 7420.16, 7439.74
08/04/22, 7445.68, 7491.74, 7417.49, 7448.06
08/03/22, 7409.11, 7445.90, 7372.71, 7445.68
08/02/22, 7413.42, 7433.34, 7386.76, 7409.11
08/01/22, 7450.24, 7471.87, 7408.94, 7413.42
